Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Rudkowsky, Elena; Haselmayer, Martin; Wastian, Matthias; Jenny, Marcelo; Emrich, Štefan; Sedlmair, Michael; ",More than bags of words: Sentiment analysis with word embeddings,Communication Methods and Measures,12,2-3,140-157,2018,Taylor & Francis
"Onyimadu, Obinna; Nakata, Keiichi; Wilson, Tony; Macken, David; Liu, Kecheng; ",Towards sentiment analysis on parliamentary debates in Hansard,"Semantic Technology: Third Joint International Conference, JIST 2013, Seoul, South Korea, November 28--30, 2013, Revised Selected Papers 3",,,48-50,2014,Springer
"Haselmayer, Martin; Dingler, Sarah C; Jenny, Marcelo; ",How Women Shape Negativity in Parliamentary Speeches—A Sentiment Analysis of Debates in the Austrian Parliament,Parliamentary Affairs,75,4,867-886,2022,Oxford University Press UK
"Salah, Zaher; ",Machine learning and sentiment analysis approaches for the analysis of Parliamentary debates,,,,,2014,University of Liverpool
"Mochtak, Michal; Rupnik, Peter; Ljubešič, Nikola; ","The ParlaSent-BCS dataset of sentiment-annotated parliamentary debates from Bosnia-Herzegovina, Croatia, and Serbia",arXiv preprint arXiv:2206.00929,,,,2022,
"Meden, Katja; ",Speech-level Sentiment Analysis of Parliamentary Debates using Lexicon-based Approaches,,,,,,
"Abercrombie, Gavin; Batista-Navarro, Riza Theresa; ",‘Aye’or ‘no’? Speech-level sentiment analysis of Hansard UK parliamentary debate transcripts,Proceedings of the Eleventh International Conference on Language Resources and Evaluation (LREC 2018),,,,2018,
"Jenny, Marcelo; Haselmayer, Martin; Rudkowsky, Elena; Wastian, Matthias; Emrich, Stefan; Sedlmair, Michael; ",Incivility in Austrian parliamentary debates: A supervised sentiment analysis of parliamentary speeches,"Workshop on Political Incivility, ECPR Joint Sessions, Nottingham. https://www. vis. uni-stuttgart. de/documentcenter/staff/sedlmaml/papers/jenny2017incivility. pdf",,,,2017,
"Rudkowsky, Elena; Haselmayer, Martin; Wastian, Matthias; Jenny, Marcelo; Emrich, Štefan; Sedlmair, Michael; ",Supervised Sentiment Analysis of Parliamentary Speeches and News Reports,"67th Annual Conference of the International Communication Association (ICA), Panel on Automatic Sentiment Analysis",,,,2017,
"Abercrombie, Gavin; Batista-Navarro, Riza Theresa; ",Policy-focused Stance Detection in Parliamentary Debate Speeches,"Northern European Journal of Language Technology, Volume 8",,,,2022,
"Jenny, Marcelo; Haselmayer, Martin; Kapla, Daniel; ",Measuring incivility in parliamentary debates: Validating a sentiment analysis procedure with Calls to Order in the Austrian Parliament,"Political Incivility in the Parliamentary, Electoral and Media Arena",,,56-66,2021,Routledge
"Proksch, Sven‐Oliver; Lowe, Will; Wäckerle, Jens; Soroka, Stuart; ",Multilingual sentiment analysis: A new approach to measuring conflict in legislative speeches,Legislative Studies Quarterly,44,1,97-131,2019,Wiley Online Library
"Abercrombie, Gavin; Batista-Navarro, Riza; ",Sentiment and position-taking analysis of parliamentary debates: a systematic literature review,Journal of Computational Social Science,3,1,245-270,2020,Springer
"van Lange, Milan; Futselaar, Ralf; ",Debating evil: Using word embeddings to analyze parliamentary debates on war criminals in The Netherlands,Proceedings of the Conference on Language Technologies & Digital Humanities,,,147-153,2018,
"Kartalis, Yani; ",Parliamentary Mandate Fulfilment. An automated approach to measuring congruence between the pre and post-electoral discourse of parties using word embeddings,,,,,2021,SocArXiv
